[2022-05-13 23:26:16,081] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\FULL.kjb
[2022-05-13 23:26:16,098] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\EasyBI\EasyBI.kjb
[2022-05-13 23:26:16,109] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\EasyBI\separateEasyBI.kjb
[2022-05-13 23:26:16,124] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\FIN\Reports.kjb
[2022-05-13 23:26:16,142] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\FIN\Обновить сводные данные.kjb
[2022-05-13 23:26:16,156] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\STG\STG.kjb
[2022-05-13 23:26:16,171] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\JiraAutomation\JiraAutomations.kjb
[2022-05-13 23:26:16,184] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\JiraAutomation\VerticalEmployeeAccessJob.kjb
[2022-05-13 23:26:16,195] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\Night.kjb
[2022-05-13 23:26:16,212] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\Django\Django.kjb
[2022-05-13 23:26:16,221] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\JIRA NEW\JIRA NEW.kjb
[2022-05-13 23:26:16,232] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\Portal\Portal.kjb
[2022-05-13 23:26:16,250] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\ProjectPortal\ProjectPortalMain.kjb
[2022-05-13 23:26:16,261] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\ProjectPortal\Datalake\Datalake.kjb
[2022-05-13 23:26:16,284] [INFO] - process file: C:\projects\temp\ac\localRep\jira8migration\runFullAndNight.kjb
[2022-05-13 23:26:16,292] [INFO] - process file: C:\projects\temp\ac\localRep\jira8migration\testChangedTransformations.kjb
[2022-05-13 23:26:16,352] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\AbsenceReport\AbsenceMain.kjb
[2022-05-13 23:26:16,362] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Allocation\Allocation.kjb
[2022-05-13 23:26:16,375] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\consolidation.kjb
[2022-05-13 23:26:16,381] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\detalisation.kjb
[2022-05-13 23:26:16,388] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\FBBJ.kjb
[2022-05-13 23:26:16,396] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\fixation.kjb
[2022-05-13 23:26:16,406] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\f_billing_bonus_job - Copy.kjb
[2022-05-13 23:26:16,417] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Billings\BillingReportJob.kjb
[2022-05-13 23:26:16,425] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Billings Forecast\BillingsForecast.kjb
[2022-05-13 23:26:16,433] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingsBonus\BillingsBonus.kjb
[2022-05-13 23:26:16,444] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingsBonus\Calculate substrate.kjb
[2022-05-13 23:26:16,451] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingsBonus\Calculate total.kjb
[2022-05-13 23:26:16,470] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\CubeIssuesReport\CubeReport.kjb
[2022-05-13 23:26:16,478] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\DebtsOfProjectPrograms\DOPPJob.kjb
[2022-05-13 23:26:16,484] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\DebtsStatistics\ExcelTotalAmounts.kjb
[2022-05-13 23:26:16,493] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Grades detalization\Детализация по грейдам.kjb
[2022-05-13 23:26:16,501] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\LKK Reports\LKK Delays.kjb
[2022-05-13 23:26:16,515] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\ManagersReport\ManagersReportMain.kjb
[2022-05-13 23:26:16,523] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\NFO\nfo_bug_job.kjb
[2022-05-13 23:26:16,530] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\POInvoice\invoicejob.kjb
[2022-05-13 23:26:16,536] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\RegisterContracts\RegisterContractsJob.kjb
